42339         2.   ..                       .  .
42340         10   ..                      85 85
42341         2.   ..                       .  .
42342         1100200                      16 14
42343         2.   ..                       .  .
42344         10   ..                      92 90
42345         10   ..                     104103
42346         10   ..                     100 99
42347         2.   ..                       .  .
42348         10   ..                      86  .
42349         10   ..                     106105
42350         10   ..                     106105
42351         10   ..                     101100
42352         10   ..                     100  .
42353         2.   ..                       .  .
42354         2.   ..                       .  .
42355         2.   ..                       .  .
42356         10   ..                      97 96
42357         10   ..                     101100
42358         10   ..                      99 98
42359         2.   ..                       .  .
42360         2.   ..                       .  .
42361         10   ..                      89 88
42362         2.   ..                       .  .
42363         2.   ..                       .  .
42364         10   ..                      86 85
42365         10   ..                      91 90
42366         10   ..                      97 96
42367         2.   ..                       .  .
42368         10   ..                      93 92
42369         10   ..                      96 96
42370         10   ..                     107106
42371         2.   ..                       .  .
42372         10   ..                     101  .
42373         10   ..                      85 84
42374         2.   ..                       .  .
